customer_id,signup_date,channel,tier,signup_month
1,2023-12-27,Paid Social,Silver,2023-12
2,2023-10-01,Organic,Bronze,2023-10
3,2024-01-22,Organic,Bronze,2024-01
4,2023-06-22,Organic,Bronze,2023-06
5,2024-07-14,Email,Bronze,2024-07
6,2023-05-07,Paid Social,Silver,2023-05
7,2024-04-22,Organic,Bronze,2024-04
8,2023-07-17,Organic,Bronze,2023-07
9,2023-08-16,Paid Search,Bronze,2023-08
10,2024-02-15,Email,Silver,2024-02
11,2024-06-12,Paid Social,Bronze,2024-06
12,2023-04-10,Paid Search,Silver,2023-04
13,2023-12-22,Paid Search,Silver,2023-12
14,2023-10-26,Referral,Bronze,2023-10
15,2023-05-21,Organic,Bronze,2023-05
16,2024-01-04,Paid Search,Silver,2024-01
17,2023-05-25,Organic,Bronze,2023-05
18,2023-11-10,Referral,Bronze,2023-11
19,2023-07-15,Organic,Bronze,2023-07
20,2023-08-23,Referral,Silver,2023-08
21,2023-09-11,Paid Social,Silver,2023-09
22,2024-02-10,Paid Search,Silver,2024-02
23,2023-06-02,Paid Search,Bronze,2023-06
24,2023-11-23,Paid Social,Bronze,2023-11
25,2023-08-06,Organic,Silver,2023-08
26,2023-08-07,Email,Silver,2023-08
27,2023-12-26,Organic,Bronze,2023-12
28,2023-07-25,Paid Search,Bronze,2023-07
29,2023-08-05,Organic,Bronze,2023-08
30,2023-10-20,Organic,Bronze,2023-10
31,2023-05-07,Email,Bronze,2023-05
32,2023-08-09,Email,Silver,2023-08
33,2023-11-20,Paid Search,Bronze,2023-11
34,2023-02-25,Paid Search,Silver,2023-02
35,2023-04-29,Email,Bronze,2023-04
36,2023-08-15,Paid Social,Gold,2023-08
37,2023-12-09,Paid Search,Silver,2023-12
38,2024-08-16,Paid Search,Bronze,2024-08
39,2023-07-18,Organic,Silver,2023-07
40,2023-03-25,Email,Bronze,2023-03
41,2023-03-21,Referral,Bronze,2023-03
42,2023-07-24,Paid Search,Silver,2023-07
43,2024-06-13,Organic,Bronze,2024-06
44,2023-03-15,Referral,Gold,2023-03
45,2023-08-28,Paid Search,Silver,2023-08
46,2023-11-13,Paid Search,Bronze,2023-11
47,2023-06-20,Organic,Silver,2023-06
48,2024-02-10,Email,Silver,2024-02
49,2024-03-18,Paid Search,Bronze,2024-03
50,2023-04-15,Organic,Gold,2023-04
51,2023-12-23,Paid Search,Bronze,2023-12
52,2023-12-01,Paid Social,Bronze,2023-12
53,2023-08-26,Organic,Silver,2023-08
54,2023-06-13,Organic,Gold,2023-06
55,2024-04-08,Paid Social,Bronze,2024-04
56,2023-04-21,Paid Social,Silver,2023-04
57,2023-07-08,Organic,Bronze,2023-07
58,2023-12-17,Referral,Silver,2023-12
59,2023-12-13,Referral,Bronze,2023-12
60,2024-04-11,Organic,Bronze,2024-04
61,2023-06-01,Organic,Bronze,2023-06
62,2024-03-08,Paid Social,Silver,2024-03
63,2023-11-05,Organic,Bronze,2023-11
64,2023-10-21,Referral,Silver,2023-10
65,2023-09-11,Paid Search,Bronze,2023-09
66,2024-04-01,Organic,Bronze,2024-04
67,2023-04-12,Paid Social,Bronze,2023-04
68,2023-03-18,Paid Social,Bronze,2023-03
69,2024-05-10,Paid Search,Bronze,2024-05
70,2023-12-29,Email,Bronze,2023-12
71,2024-04-12,Organic,Bronze,2024-04
72,2024-02-06,Referral,Bronze,2024-02
73,2023-08-06,Organic,Bronze,2023-08
74,2024-03-20,Paid Search,Silver,2024-03
75,2023-12-08,Organic,Bronze,2023-12
76,2023-07-29,Email,Bronze,2023-07
77,2023-10-12,Referral,Silver,2023-10
78,2023-06-02,Paid Search,Bronze,2023-06
79,2024-12-05,Organic,Bronze,2024-12
80,2023-03-11,Paid Search,Gold,2023-03
81,2023-02-19,Paid Search,Silver,2023-02
82,2023-06-20,Paid Search,Bronze,2023-06
83,2023-11-30,Organic,Bronze,2023-11
84,2023-05-01,Organic,Bronze,2023-05
85,2023-05-10,Paid Social,Silver,2023-05
86,2023-11-23,Paid Search,Silver,2023-11
87,2023-09-14,Organic,Bronze,2023-09
88,2023-10-24,Paid Search,Bronze,2023-10
89,2024-02-27,Email,Bronze,2024-02
90,2023-07-27,Organic,Bronze,2023-07
91,2023-08-31,Organic,Bronze,2023-08
92,2023-07-02,Organic,Silver,2023-07
93,2023-09-15,Email,Bronze,2023-09
94,2023-09-09,Paid Search,Bronze,2023-09
95,2023-12-27,Paid Search,Bronze,2023-12
96,2024-02-04,Paid Search,Silver,2024-02
97,2024-01-18,Organic,Bronze,2024-01
98,2023-04-14,Email,Bronze,2023-04
99,2023-08-10,Paid Social,Bronze,2023-08
100,2023-07-03,Organic,Gold,2023-07
101,2023-09-18,Organic,Silver,2023-09
102,2024-05-11,Paid Social,Bronze,2024-05
103,2023-05-31,Paid Search,Bronze,2023-05
104,2023-06-29,Organic,Silver,2023-06
105,2023-09-19,Paid Social,Bronze,2023-09
106,2023-07-31,Email,Bronze,2023-07
107,2023-06-29,Referral,Bronze,2023-06
108,2023-11-06,Email,Silver,2023-11
109,2023-10-07,Email,Silver,2023-10
110,2023-06-18,Organic,Silver,2023-06
111,2023-03-12,Email,Bronze,2023-03
112,2024-04-04,Paid Social,Bronze,2024-04
113,2023-06-30,Email,Bronze,2023-06
114,2024-07-30,Paid Social,Silver,2024-07
115,2024-05-23,Paid Search,Silver,2024-05
116,2024-01-09,Referral,Bronze,2024-01
117,2023-05-04,Organic,Bronze,2023-05
118,2023-06-14,Organic,Bronze,2023-06
119,2023-10-04,Paid Search,Bronze,2023-10
120,2023-06-19,Paid Social,Bronze,2023-06
121,2023-09-03,Referral,Silver,2023-09
122,2023-02-16,Organic,Silver,2023-02
123,2024-03-25,Paid Search,Bronze,2024-03
124,2023-12-12,Paid Search,Bronze,2023-12
125,2023-08-23,Organic,Bronze,2023-08
126,2024-08-29,Organic,Silver,2024-08
127,2023-07-02,Referral,Silver,2023-07
128,2024-08-27,Referral,Bronze,2024-08
129,2023-03-16,Referral,Bronze,2023-03
130,2023-02-15,Paid Social,Bronze,2023-02
131,2024-03-20,Organic,Gold,2024-03
132,2023-07-08,Paid Search,Bronze,2023-07
133,2023-10-24,Referral,Bronze,2023-10
134,2024-01-29,Paid Social,Bronze,2024-01
135,2024-05-09,Paid Search,Bronze,2024-05
136,2023-06-19,Email,Bronze,2023-06
137,2023-10-17,Organic,Bronze,2023-10
138,2023-09-27,Organic,Bronze,2023-09
139,2023-02-16,Organic,Gold,2023-02
140,2023-11-18,Email,Bronze,2023-11
141,2024-01-15,Paid Social,Bronze,2024-01
142,2023-12-15,Email,Bronze,2023-12
143,2023-11-13,Paid Social,Bronze,2023-11
144,2024-01-22,Referral,Bronze,2024-01
145,2024-01-31,Referral,Bronze,2024-01
